2025-10-28 17:03:47 info: Congratulations, your extension "Embold" is now active!
2025-10-28 17:03:47 info: ************* init ****************
2025-10-28 17:03:47 info: tempDirectory : /Users/shantanu/.vscode/extensions/embold-vscode.embold-0.3.1/temp
2025-10-28 17:03:47 info: Extraction complete for source: /Users/shantanu/.vscode/extensions/embold-vscode.embold-0.3.1/resources/embold-scanner-archive.zip, destination: /Users/shantanu/.vscode/extensions/embold-vscode.embold-0.3.1/temp
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:52 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:06:55 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:00 info: Row(s) deleted
2025-10-28 19:07:01 info: Row(s) deleted
2025-10-28 19:07:03 info: Row(s) deleted
2025-10-28 19:07:03 info: Row(s) deleted
2025-10-28 19:07:05 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:14 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:15 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:16 info: Row(s) deleted
2025-10-28 19:07:17 info: Row(s) deleted
